product_name,complaint_count
7371 JEB,23
BFM 410 EBB,23
KMX 91,23
KM 1100,23
B50 A 800 B,23
B65 D 895 A,23
BM 6016,22
970504 MB,22
974508 MB,22
BSUF 5000 MEB,22
SD 2141,22
B55 D 895 A,22
BM 6147 WF,21
BK 9101 D,21
PowerClean Pro 3.0 VRT 97325 VY,21
BFC 321,20
670514 EI,20
BSUF 4000 MEB,20
41865 HP,20
Accoro 24,20
400 TR Temassız,20
D4 3001,19
D3 3001,19
670475 EB,19
970477 MB,19
670561 E,19
BOCD T 6011 E,18
BM 3033,18
670475 M,18
984611 EI,18
D 9578 NEXK,18
BK 9121 EY,18
BKS 5564,18
BMD 200,18
AOV 64400 S,18
BFM 310,17
BFC 630,17
Floral RHB 5050,17
BM 6066,17
978556 EB,17
B 9479 NEXN,17
CMX 11140,17
BK 7101 D,17
BDE 6050,17
20910 P,17
KMX 1001,17
KM 99,17
BOMD D 6110 E,17
Robo-X 3.1 VRR 82314 VB,17
684580 MB,16
683616 EI,16
683614 IE,16
CM 11141,16
CM 5342 IN,16
B65 D 790 B,16
970406 MB,15
670561 EBC,15
9520 KEX,15
2012 CXY,15
CM 9142 BMG,15
CM 10121 BB,15
41866 HP,15
B50 D 895 A,15
BKT 650 B,15
984611 MB,14
674532 EB,14
9530 KM,14
670560 E,14
WD 854 YK,14
7781 EB,14
41265 HP,14
31220 Ekolojik,14
74826,14
51860 HP,14
42465 HP,14
Smart Logic 30,14
KM 92 BMG,14
D 70 KT,14
BK 851 YK,14
BK 12 HS,14
B43 D 790 B,14
B55 B 880 B,14
BFC 330,13
BOCD K 6510 EWG,13
BKK-1100 Steambox,13
BM 5015,13
983630 EB,13
670482 M,13
678550 I,13
674533 MB,13
978556 EI,13
683613,13
CM 12140 B,13
CM 10123 B,13
CM 9101 S,13
BK 9122 PR,13
CM 9100 B,13
BK 7101 YD,13
ADA91844B,13
7052 NFB,13
32420 Ekolojik,13
Eco Green 24,13
B24K 580,13
B24L 5845 4B,13
B55 B 820 B,13
BKU 8130,13
BM 6146,12
BM 6006,12
BM 3023,12
D 4001,12
176478 EI,12
670520 EB,12
BK 9102 EY,12
CM 7100,12
7071 NFB,12
3298 J,12
51260 HP,12
BK YP 25,12
KM 91 BMG,12
31655 AV,12
AFE 24300,11
BOCD K 6510 EWB,11
P 38,11
BM 3143,11
974561 EI,11
D 9486 NEXK,11
CM 10142 B,11
BK 8101 D,11
BK 10141 E,11
BK 9141 HJ,11
ADP61420,11
TRB 5986 B,11
AlerjenSmart 71260 AL,11
BOCD K 6510 EWS,11
BOCD D 6510 E,11
BSS 2204,11
B75 D 790 B,11
Crystal Pro B55 C 985 B,11
B65L 8900 5A,11
B65 C 885 A,11
AFD 14400,10
BMA 6340,10
570476 MB,10
B 9530 NMXK,10
YM 8242 I Yoğurt Chef,10
CMX 8100,10
BK 8101 EY,10
BK 9120 BTI,10
BK 9122 D,10
BDE 6040,10
BSUF 5000 MGSI,10
20915 P,10
30926 Ekolojik,10
KM 1010 IG,10
KM 82 B,10
Robo-X 2.1 VRR 72314 VB,10
HydroTrio SD 5341,10
B55 A 860 B,10
Crystal Pro B65 C 985 B,10
BKT 500 E BS,10
BB 250,9
BM 5145 WF,9
BM 6247 WF,9
BM 5115,9
983630 EI,9
970505 EI,9
978590 EI,9
678552 E,9
D 9575 NEX,9
9580 KEX,9
9610 NFY,9
CM 9120 B,9
D5 8101 E,9
CM 960 YK,9
BK 9141 E,9
7041 MB,9
CEP 5304 X Caffee Experto,9
21205,9
Prodens 24,9
BK 20 EK LCD,9
KM 91 B,9
B32 A 675 A,9
B32 D 561 B,9
B49L 8860 5S,9
B49L 6750 5B,9
B49L 8850 5B,9
BKT 500 B,9
BKT 650 E BS,9
678550 E,8
670490 IE,8
983628 EI,8
9614 NFIY,8
9560 NBEX,8
970476 EI,8
BK 9550 NFE,8
9430 NM,8
670481 M,8
B 9477 NMN,8
970465 M,8
D7 7101 E,8
BK 8101 DYT,8
BK 10142 EY,8
D4 8101 E,8
7043 MB,8
7371 JEI,8
BKE 7701,8
71270 AL,8
51861 HP,8
KM 1010 SW,8
BSTOC 826 S,8
BOCD T 6010 E,8
VRR 72314 VB,8
BSOMD D 611 ES,8
BSTOC 827 B,8
B50 A 850 B,8
B32 D 696 B,8
Crystal Pro B50 C 865 B,8
B55L 8840 5B,8
B49L 8840 5B,8
B55L 8752 5S,8
B55 C 890 A,8
BKK 2118,8
BKG 5916,8
BFC 431 B,7
AOV 64400 B,7
BM 11041 I WF,7
983650 EB,7
7281 NFL,7
670530 M,7
9480 KM,7
970475 EI,7
670560 EBC,7
670560 ESC,7
B 9478 NEXN,7
AKC 8514,7
CM 9103 B,7
BK 9101 ES,7
BK 9101 E,7
BK 10141 PR CNT,7
7071 MI,7
7081 MultiMode EB,7
EM 2192 O,7
ATP 35500,7
41266 HP,7
D 92 HP,7
D 82 HP,7
KM 81 BMG,7
BMD 211 D,7
BSTOC 828 G,7
B43 B 685 A,7
B55 C 885 A,7
B65 B 820 B,7
B40 A 670 A,7
B43L 6652 5B,7
31680 HKV,7
BOMD D 6110 DWI,6
BBM 350 I,6
BBM 360 S,6
3505 P,6
983650 EI,6
970505 EB,6
191625 E,6
9506 NEX,6
B 9597 NEX,6
670561 ESC,6
670475 EA,6
970357 MB,6
D 9574 NE,6
B1 9426 NM,6
9505 N,6
966375 ES,6
B 9481 NMB,6
974560 EI,6
