year,id,educ,sex,race,income,natfare,health,satfin
2010.0,527.0,12.0,2.0,1.0,12.0,1.0,2.0,1.0
2010.0,532.0,14.0,1.0,2.0,5.0,1.0,1.0,3.0
2010.0,536.0,13.0,2.0,1.0,12.0,3.0,4.0,3.0
2010.0,539.0,12.0,1.0,1.0,12.0,1.0,2.0,2.0
2010.0,544.0,12.0,2.0,1.0,10.0,2.0,3.0,1.0
2010.0,551.0,18.0,1.0,1.0,12.0,2.0,2.0,2.0
2010.0,557.0,16.0,1.0,1.0,12.0,2.0,2.0,3.0
2010.0,559.0,13.0,2.0,2.0,11.0,3.0,2.0,2.0
2010.0,564.0,11.0,1.0,3.0,8.0,1.0,3.0,3.0
2010.0,565.0,2.0,1.0,1.0,10.0,3.0,2.0,2.0
2010.0,573.0,16.0,1.0,1.0,12.0,2.0,2.0,1.0
2010.0,575.0,12.0,1.0,1.0,12.0,3.0,1.0,1.0
2010.0,576.0,12.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,578.0,20.0,2.0,1.0,12.0,2.0,1.0,2.0
2010.0,582.0,12.0,1.0,1.0,12.0,2.0,1.0,1.0
2010.0,584.0,12.0,1.0,1.0,12.0,3.0,3.0,3.0
2010.0,586.0,16.0,2.0,1.0,12.0,2.0,2.0,3.0
2010.0,589.0,12.0,2.0,1.0,9.0,3.0,3.0,3.0
2010.0,596.0,14.0,1.0,1.0,2.0,1.0,2.0,1.0
2010.0,600.0,13.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,603.0,16.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,605.0,16.0,2.0,1.0,12.0,2.0,4.0,3.0
2010.0,608.0,16.0,1.0,1.0,12.0,2.0,1.0,1.0
2010.0,610.0,15.0,2.0,2.0,10.0,2.0,2.0,2.0
2010.0,611.0,12.0,1.0,2.0,12.0,2.0,3.0,3.0
2010.0,614.0,11.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,616.0,12.0,1.0,1.0,1.0,2.0,2.0,3.0
2010.0,619.0,12.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,620.0,16.0,1.0,2.0,12.0,3.0,3.0,3.0
2010.0,627.0,12.0,2.0,1.0,9.0,2.0,2.0,1.0
2010.0,631.0,12.0,1.0,3.0,12.0,3.0,2.0,2.0
2010.0,632.0,17.0,2.0,1.0,12.0,3.0,2.0,1.0
2010.0,636.0,14.0,2.0,1.0,12.0,2.0,2.0,2.0
2010.0,641.0,12.0,1.0,1.0,12.0,3.0,3.0,3.0
2010.0,647.0,12.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,648.0,12.0,1.0,1.0,12.0,1.0,3.0,2.0
2010.0,653.0,11.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,658.0,10.0,1.0,2.0,8.0,3.0,3.0,3.0
2010.0,661.0,16.0,1.0,1.0,12.0,2.0,2.0,1.0
2010.0,662.0,18.0,1.0,1.0,9.0,2.0,1.0,1.0
2010.0,669.0,12.0,1.0,1.0,10.0,3.0,3.0,3.0
2010.0,673.0,12.0,2.0,1.0,12.0,1.0,2.0,3.0
2010.0,682.0,10.0,1.0,1.0,12.0,1.0,3.0,2.0
2010.0,688.0,12.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,692.0,16.0,1.0,1.0,12.0,1.0,2.0,1.0
2010.0,698.0,16.0,1.0,1.0,12.0,3.0,3.0,2.0
2010.0,702.0,13.0,2.0,2.0,2.0,1.0,3.0,3.0
2010.0,704.0,20.0,2.0,3.0,10.0,2.0,2.0,1.0
2010.0,707.0,13.0,2.0,2.0,12.0,1.0,3.0,2.0
2010.0,714.0,15.0,1.0,1.0,9.0,1.0,2.0,2.0
2010.0,720.0,19.0,2.0,1.0,12.0,2.0,1.0,2.0
2010.0,725.0,14.0,1.0,1.0,12.0,2.0,1.0,2.0
2010.0,726.0,18.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,732.0,19.0,1.0,3.0,12.0,3.0,3.0,2.0
2010.0,735.0,20.0,1.0,1.0,12.0,2.0,2.0,1.0
2010.0,738.0,10.0,1.0,1.0,12.0,3.0,2.0,3.0
2010.0,744.0,14.0,2.0,1.0,12.0,3.0,2.0,2.0
2010.0,746.0,12.0,2.0,1.0,8.0,2.0,4.0,2.0
2010.0,749.0,16.0,1.0,3.0,12.0,2.0,2.0,2.0
2010.0,751.0,12.0,1.0,1.0,12.0,1.0,3.0,3.0
2010.0,756.0,12.0,1.0,1.0,12.0,2.0,2.0,2.0
2010.0,763.0,14.0,1.0,1.0,11.0,2.0,3.0,2.0
2010.0,768.0,16.0,2.0,1.0,12.0,2.0,2.0,1.0
2010.0,773.0,14.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,776.0,16.0,2.0,3.0,12.0,2.0,4.0,2.0
2010.0,777.0,12.0,2.0,1.0,12.0,2.0,3.0,3.0
2010.0,785.0,11.0,2.0,2.0,10.0,1.0,1.0,3.0
2010.0,786.0,12.0,2.0,1.0,12.0,1.0,2.0,3.0
2010.0,789.0,16.0,1.0,1.0,12.0,2.0,2.0,3.0
2010.0,795.0,12.0,2.0,1.0,8.0,3.0,2.0,3.0
2010.0,797.0,17.0,2.0,1.0,12.0,3.0,2.0,2.0
2010.0,803.0,9.0,1.0,1.0,11.0,3.0,2.0,2.0
2010.0,806.0,13.0,1.0,1.0,12.0,3.0,1.0,2.0
2010.0,807.0,16.0,1.0,3.0,12.0,3.0,2.0,2.0
2010.0,808.0,18.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,811.0,13.0,2.0,1.0,12.0,2.0,2.0,1.0
2010.0,815.0,13.0,1.0,1.0,11.0,3.0,2.0,3.0
2010.0,818.0,12.0,2.0,1.0,9.0,1.0,4.0,2.0
2010.0,820.0,12.0,1.0,2.0,7.0,1.0,3.0,3.0
2010.0,822.0,18.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,825.0,11.0,2.0,1.0,1.0,2.0,2.0,1.0
2010.0,829.0,6.0,2.0,3.0,11.0,3.0,2.0,2.0
2010.0,831.0,13.0,2.0,1.0,10.0,1.0,3.0,2.0
2010.0,833.0,18.0,1.0,1.0,12.0,2.0,2.0,1.0
2010.0,837.0,16.0,1.0,1.0,12.0,2.0,2.0,1.0
2010.0,845.0,18.0,2.0,1.0,12.0,3.0,4.0,2.0
2010.0,851.0,8.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,855.0,12.0,2.0,1.0,12.0,2.0,3.0,3.0
2010.0,857.0,11.0,2.0,1.0,12.0,3.0,3.0,3.0
2010.0,860.0,12.0,2.0,1.0,9.0,2.0,2.0,1.0
2010.0,862.0,12.0,1.0,1.0,9.0,2.0,2.0,3.0
2010.0,866.0,12.0,2.0,1.0,2.0,2.0,3.0,2.0
2010.0,872.0,12.0,2.0,1.0,12.0,3.0,2.0,3.0
2010.0,884.0,12.0,1.0,1.0,9.0,3.0,4.0,3.0
2010.0,891.0,11.0,1.0,1.0,3.0,2.0,3.0,3.0
2010.0,895.0,12.0,1.0,1.0,12.0,2.0,3.0,3.0
2010.0,897.0,12.0,2.0,1.0,9.0,2.0,1.0,2.0
2010.0,900.0,17.0,2.0,1.0,12.0,3.0,2.0,2.0
